ID,FID,Status,Score,Match_type,Side,Match_addr,ARC_Street,ARC_Zone,address,latitude,longitude,name,desc_,source,precision
1,0,M,86,A,L,"59 MAIDEN LN, 1",59 Maiden Lane,1,59 Maiden Lane,40.70823,-74.008139,59 Maiden Lane,"59 Maiden Ln, New York, NY 10038",Bing Maps,address
2,1,T,86,A,L,"180 WATER ST, 1",180 Water Street,1,180 Water Street,40.706982,-74.005585,180 Water Street,"180 Water St, New York, NY 10038",Bing Maps,address
3,2,M,86,A,L,"415 E 203RD ST, 2",415 East 203 St,2,415 East 203 St,40.87043,-73.877022,415 East 203 St,"415 E 203rd St, Bronx, NY 10467",Bing Maps,address
4,3,T,86,A,L,"1201 METROPOLITAN AVE, 3",1201 Metropolitan Ave,3,1201 Metropolitan Ave,39.32777,-94.932825,1201 Metropolitan Ave,"1201 Metropolitan Ave, Leavenworth, KS 66048",Bing Maps,address
5,4,T,86,A,L,"1201 METROPOLITAN AVE, 3",1201 Metropolitan Ave,3,1201 Metropolitan Ave,39.32777,-94.932825,1201 Metropolitan Ave,"1201 Metropolitan Ave, Leavenworth, KS 66048",Bing Maps,address
6,5,T,86,A,R,"470 VANDERBILT AVE, 3",470 Vanderbilt Ave,3,470 Vanderbilt Ave,40.683077,-73.967854,470 Vanderbilt Ave,"470 Vanderbilt Ave, Brooklyn, NY 11238",Bing Maps,address
7,6,U,0,A, , ,2389 Route 28A, ,2389 Route 28A,41.947918,-74.201201,2389 Route 28A,"2389 RT-28A, Olivebridge, NY 12461",Bing Maps,address
8,7,U,0,A, , ,2389 Route 28A, ,2389 Route 28A,41.947918,-74.201201,2389 Route 28A,"2389 RT-28A, Olivebridge, NY 12461",Bing Maps,address
9,8,T,86,A,L,"42 BROADWAY, 1",42 Broadway,1,42 Broadway,40.705982,-74.012581,42 Broadway,"42 Broadway, New York, NY 10004",Bing Maps,address
10,9,M,86,A,L,"415 E 203RD ST, 2",415 East 203 St,2,415 East 203 St,40.87043,-73.877022,415 East 203 St,"415 E 203rd St, Bronx, NY 10467",Bing Maps,address
11,10,M,63,A,R,"5 6 HORACE HARDING EXPRE, 4",96-05 Horace Harding Expway,4,96-05 Horace Harding Expway,40.734752,-73.863127,96-05 Horace Harding Expway,"96-05 Horace Harding Expy N, Corona, NY 11368",Bing Maps,address
12,11,M,63,A,R,"5 6 HORACE HARDING EXPRE, 4",96-05 Horace Harding Expway,4,96-05 Horace Harding Expway,40.734752,-73.863127,96-05 Horace Harding Expway,"96-05 Horace Harding Expy N, Corona, NY 11368",Bing Maps,address
13,12,M,86,A,R,"9 METROTECH CTR, 3",9 Metrotech Center,3,9 Metrotech Center,40.694359,-73.985969,9 Metrotech Center,MetroTech Center,Bing Maps,LandmarkBuilding
14,13,M,86,A,R,"9 METROTECH CTR, 3",9 Metrotech Center,3,9 Metrotech Center,40.694359,-73.985969,9 Metrotech Center,MetroTech Center,Bing Maps,LandmarkBuilding
15,14,M,86,A,R,"9 METROTECH CTR, 3",9 Metrotech Center,3,9 Metrotech Center,40.694359,-73.985969,9 Metrotech Center,MetroTech Center,Bing Maps,LandmarkBuilding
16,15,M,86,A,R,"9 METROTECH CTR, 3",9 Metrotech Center,3,9 Metrotech Center,40.694359,-73.985969,9 Metrotech Center,MetroTech Center,Bing Maps,LandmarkBuilding
17,16,T,86,A,L,"42 BROADWAY, 1",42 Broadway,1,42 Broadway,40.705982,-74.012581,42 Broadway,"42 Broadway, New York, NY 10004",Bing Maps,address
18,17,T,86,A,L,"42 BROADWAY, 1",42 Broadway,1,42 Broadway,40.705982,-74.012581,42 Broadway,"42 Broadway, New York, NY 10004",Bing Maps,address
19,18,M,86,A,R,"150 WILLIAM ST, 1",150 William Street,1,150 William Street,40.709713,-74.006218,150 William Street,"150 William St, New York, NY 10038",Bing Maps,address
20,19,U,0,A, , ,59-17 Junction Blvd Corona Ny, ,59-17 Junction Blvd Corona Ny,40.74408,-73.867668,59-17 Junction Blvd Corona Ny,"Junction Blvd, Corona, NY 11368",Bing Maps,street
21,20,U,0,A, , ,59-17 Junction Blvd Corona Ny, ,59-17 Junction Blvd Corona Ny,40.74408,-73.867668,59-17 Junction Blvd Corona Ny,"Junction Blvd, Corona, NY 11368",Bing Maps,street
22,21,M,86,A,R,"465 COLUMBUS AVE, 1",465 Columbus Ave. Valhalla,1,465 Columbus Ave. Valhalla,41.107204,-73.781418,465 Columbus Ave. Valhalla,"465 Columbus Ave, Valhalla, NY 10595",Bing Maps,address
23,22,M,86,A,R,"465 COLUMBUS AVE, 1",465 Columbus Ave. Valhalla,1,465 Columbus Ave. Valhalla,41.107204,-73.781418,465 Columbus Ave. Valhalla,"465 Columbus Ave, Valhalla, NY 10595",Bing Maps,address
24,23,M,86,A,R,"150 WILLIAM ST, 1",150 William Street,1,150 William Street,40.709713,-74.006218,150 William Street,"150 William St, New York, NY 10038",Bing Maps,address
25,24,T,86,A,R,"280 BROADWAY, 1",280 Broadway,1,280 Broadway,40.714249,-74.006111,280 Broadway,280 Broadway,Bing Maps,HistoricalSite
26,25,T,86,A,R,"280 BROADWAY, 1",280 Broadway,1,280 Broadway,40.714249,-74.006111,280 Broadway,280 Broadway,Bing Maps,HistoricalSite
27,26,U,0,A, , ,7870 State Rd 42 Grahamsville, ,7870 State Rd 42 Grahamsville,41.844454,-74.544451,7870 State Rd 42 Grahamsville,"7870 RT-42, Grahamsville, NY 12740",Bing Maps,address
28,27,U,0,A, , ,59-17 Junction Blvd Corona Ny, ,59-17 Junction Blvd Corona Ny,40.74408,-73.867668,59-17 Junction Blvd Corona Ny,"Junction Blvd, Corona, NY 11368",Bing Maps,street
29,28,U,0,A, , ,59-17 Junction Blvd Corona Ny, ,59-17 Junction Blvd Corona Ny,40.74408,-73.867668,59-17 Junction Blvd Corona Ny,"Junction Blvd, Corona, NY 11368",Bing Maps,street
30,29,T,86,A,R,"280 BROADWAY, 1",280 Broadway,1,280 Broadway,40.714249,-74.006111,280 Broadway,280 Broadway,Bing Maps,HistoricalSite
