"word","prob2"
"00 65",1
"00 65 437",1
"00 am",1
"00 am 12",1
"00 am 4",1
"00 am 8",1
"00 am1",1
"00 am1 three",1
"00 annual",1
"00 annual flat",1
"00 annual the",1
"00 flat",1
"00 flat rate",1
"00 pm",1
"00 pm 12",1
"00 pm 4",1
"00 the",1
"00 the panel",1
"000 and",1
"000 and a",1
"000 inmates",1
"000 inmates and",1
"000 jobs",1
"000 jobs that",1
"000 nyc",1
"000 nyc parking",1
"000 official",1
"000 official government",1
"000 potable",1
"000 potable water",1
"000 staff",1
"000 staff and",1
"000 young",1
"000 young people",1
"080",1
"080 00",1
"080 00 65",1
"080 00 flat",1
"080 flat",1
"080 flat rate",1
"080 hiring",1
"080 hiring rate",1
"1 1 3",1
"1 2004",1
"1 2004 a",1
"1 2006",1
"1 2006 must",1
"1 2006 possess",1
"1 3 family",1
"1 a above",1
"1 a high",1
"1 a masterâ€™s",1
"1 a motor",1
"1 â€¢ assist",1
"1 above 4",1
"1 above Â¦five",1
"1 above Â¦four",1
"1 above each",1
"1 above for",1
"1 above may",1
"1 above obackground",1
"1 above thorough",1
"1 associate job",1
"1 b",1
"1 b or",1
"1 c",1
"1 c above",1
"1 experience",1
"1 experience in",1
"1 four years",1
"1 generate",1
"1 generate more",1
"1 housing",1
"1 housing placement",1
"1 however",1
"1 however all",1
"1 identify",1
"1 identify key",1
"1 masters",1
"1 masters degree",1
"1 oversee daily",1
"1 parcels",1
"1 parcels interacting",1
"1 perform",1
"1 perform minor",1
"1 proficiency",1
"1 proficiency in",1
"1 quality",1
"1 quality of",1
"1 research",1
"1 research agency",1
"1 residential",1
"1 residential parcels",1
"1 supervise",1
"1 supervise staff",1
"1 supervisor i",1
"1 to",1
"1 to be",1
"1 to ensure",1
"1 year 59",1
"1 year as",1
"10 coding",1
"10 coding systems",1
"10 excellent",1
"10 excellent verbal",1
"10 facility",1
"10 facility in",1
"10 minute",1
"10 minute training",1
"10 x",1
"10 x geographic",1
"10 x suite",1
"100 000 admissions",1
"100 200",1
"100 200 and",1
"100 million chs",1
"10016",1
"10016 1",1
"10016 1 a",1
"11 interest",1
"11 interest in",1
"12 00",1
"12 00 am",1
"12 000 inmates",1
"12 specialized",1
"12 specialized credits",1
"120",1
"120 000",1
"120 000 official",1
"120 ami",1
"120 ami under",1
"129",1
"129 the",1
"129 the account",1
"13 bilingual",1
"13 bilingual preferred",1
"14 000",1
"14 000 nyc",1
"14 signoffs",1
"14 signoffs are",1
"148",1
"148 street",1
"148 street the",1
"15 and",1
"15 and that",1
"15 program",1
"15 program the",1
"15 program these",1
"15 semester",1
"15 semester credits",1
"15 transactions",1
"15 transactions â€¢engaging",1
"15 years in",1
"16 of",1
"16 of the",1
"18 months commitment",1
"18 semester",1
"18 semester credits",1
"1960",1
"1960 the",1
"1960 the year",1
"2 000 potable",1
"2 3 public",1
"2 500 per",1
"2 a certificate",1
"2 a masters",1
"2 a united",1
"2 above â€¢extensive",1
"2 above familiarity",1
"2 above knowledge",1
"2 above must",1
"2 above nullunder",1
"2 above preferred",1
"2 analytical",1
"2 analytical skills",1
"2 and 4",1
"2 at the",1
"2 cdl",1
"2 cdl driver",1
"2 coordinate maintenance",1
"2 detail",1
"2 detail oriented",1
"2 eighteen",1
"2 eighteen months",1
"2 establish formal",1
"2 excellent time",1
"2 experience planning",1
"2 experience working",1
"2 extensive knowledge",1
"2 four years",1
"2 graduation",1
"2 graduation from",1
"2 or â€œ3",1
"2 or escalated",1
"2 provide a",1
"2 social",1
"2 social workers",1
"2 strong leadership",1
"2 supervise the",1
"2 survey",1
"2 survey and",1
"2 technical",1
"2 technical support",1
"2 to be",1
"2 years as",1
"2 years candidates",1
"2 years directly",1
"2 years key",1
"20 hour",1
"20 hour per",1
"200 and",1
"200 and 700",1
"200 million the",1
"2000 â€¢preparing",1
"2000 â€¢preparing packages",1
"2004",1
"2004 a",1
"2004 a valid",1
"2006",1
"2006 must",1
"2006 must possess",1
"2006 possess",1
"2006 possess clinical",1
"2008 2012 â€¢",1
"2008 vb",1
"2008 vb net",1
"2010 team",1
"2010 team site",1
"2012 â€¢",1
"2012 â€¢ scripting",1
"2014 priority",1
"2014 priority planning",1
"2015 with",1
"2015 with the",1
"2016",1
"2016 1",1
"2016 1 a",1
"2016qualification",1
"2016qualification requirements",1
"2016qualification requirements 1",1
"24 credits from",1
"28 clinics",1
"28 clinics is",1
"28 semester",1
"28 semester credits",1
"28 setting",1
"28 setting the",1
"3 4 days",1
"3 4 interviewers",1
"3 a bachelor",1
"3 a license",1
"3 a valid",1
"3 able",1
"3 able to",1
"3 above and",1
"3 above experience",1
"3 above for",1
"3 assist heating",1
"3 capacity",1
"3 capacity to",1
"3 cases",1
"3 cases that",1
"3 completion",1
"3 completion of",1
"3 excellent supervisory",1
"3 excellent trouble",1
"3 experience analyzing",1
"3 familiarity with",1
"3 family",1
"3 family parcels",1
"3 in collaboration",1
"3 introduce",1
"3 introduce new",1
"3 minimum",1
"3 minimum of",1
"3 monitor inventory",1
"3 months experience",1
